SMILES,Adduct,True CCS
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,[M+Na]+,163.8666667
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,[M+H]+,192.6
NC(CCCC(N)C(=O)O)C(=O)O,[M+H]+,140.8
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,[M-H]-,178.23
Cn1cncc1C[C@H](N)C(=O)O,[M+H]+,135.335
NCC(=O)N1CCCC1C(=O)O,[M-H]-,134.5898065
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,[M+Na]+,161.6
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,282.96
O=C(O)/C=C(\CC(=O)O)C(=O)O,[M+Na]+,149.1306363
O=C(O)C(=O)Cc1ccc(O)cc1,[M-H]-,145.75
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O[C@@H]5[C@@H](CO)O[C@@H](O[C@@H]6[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,[M-H]-,286.2
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)O)C4O)C3=O,[M+H]+,246.4
CCCCCC1OC1C/C=C\C/C=C\C/C=C\CCCC(=O)O,[M+Na]+,187.0666667
CCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCC1CC1CCCCCC,[M+Na]+,275.67
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,[M+H]+,165.5853123
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,[M+Na]+,150.2
O=[N+]([O-])c1cnc(CO)n1CCO,[M+H]+,132.55
Cc1cccc2ccccc12,[M+H]+,125.2027376
CCC(C)[C@H](NC(=O)[C@@H](NC(=O)CN)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O,[M+H]+,332.9
CCC(NC)C(=O)c1ccccc1,[M+H]+,141.2
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,[M+H]+,183.2
O=c1ccc2ccc(O)cc2o1,[M+Na]+,154.4591589
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,[M-H]-,291.55
NC(=O)c1cccnc1,[M+H]+,125.25
OC[C@@H](O)C(O)[C@H](O)CO,[M+Na]+,135.8
CN(C)C(N)=NCCC[C@H](N)C(=O)O,[M+Na]+,157.2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,[M+Na]+,167.7833334
CCCCCC(O)/C=C/C=C\CCCCCCCC(=O)O,[M-H]-,183.11
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,[M+H]+,162.7
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,[M+H]+,182.1
O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,[M+H]+,152.1
CC#Cc1cc(C)nc(Nc2ccccc2)n1,[M+H]+,152.07
c1ccc2[nH]ccc2c1,[M-H]-,117.0846902
CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,[M-H]-,200.62
CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,[M+H]+,177.4
CCOc1ccc(C(=O)c2ccc(O)c(O)c2O)cc1,[M+H]+,160.4
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,[M+H]+,213.7
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M+Na]+,225.0333334
Cn1cnc2ncnc-2c1N,[M+H]+,128.3529136
CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,[M+H]+,252.2
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN,[M-H]-,278.9
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,[M-H]-,172
Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,[M-H]-,153.560125
Nc1nc(=O)c2[nH]cnc2[nH]1,[M+H]+,129.9
CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,[M-H]-,292.95
