index,elements,distance,energy
1,H,2.886,0.044
2,H,2.886,0.044
3,He,2.362,0.056
4,Li,2.451,0.025
5,Be,2.745,0.085
6,B,4.083,0.18
7,B,4.083,0.18
8,C,3.851,0.105
9,C,3.851,0.105
10,C,3.851,0.105
11,C,3.851,0.105
12,N,3.66,0.069
13,N,3.66,0.069
14,N,3.66,0.069
15,N,3.66,0.069
16,O,3.5,0.06
17,O,3.5,0.06
18,O,3.5,0.06
19,O,3.5,0.06
20,O,3.5,0.06
21,F,3.364,0.05
22,Ne,3.243,0.042
23,Na,2.983,0.03
24,Mg,3.021,0.111
25,Al,4.499,0.505
26,Si,4.295,0.402
27,P,4.147,0.305
28,P,4.147,0.305
29,P,4.147,0.305
30,S,4.035,0.274
31,S,4.035,0.274
32,S,4.035,0.274
33,S,4.035,0.274
34,S,4.035,0.274
35,Cl,3.947,0.227
36,Ar,3.868,0.185
37,K,3.812,0.035
38,Ca,3.399,0.238
39,Sc,3.295,0.019
40,Ti,3.175,0.017
41,Ti,3.175,0.017
42,V,3.144,0.016
43,Cr,3.023,0.015
44,Mn,2.961,0.013
45,Fe,2.912,0.013
46,Fe,2.912,0.013
47,Co,2.872,0.014
48,Ni,2.834,0.015
49,Cu,3.495,0.005
50,Zn,2.763,0.124
51,Ga,4.383,0.415
52,Ge,4.28,0.379
53,As,4.23,0.309
54,Se,4.205,0.291
55,Br,4.189,0.251
56,Kr,4.141,0.22
57,Rb,4.114,0.04
58,Sr,3.641,0.235
59,Y,3.345,0.072
60,Zr,3.124,0.069
61,Nb,3.165,0.059
62,Mo,3.052,0.056
63,Mo,3.052,0.056
64,Tc,2.998,0.048
65,Ru,2.963,0.056
66,Rh,2.929,0.053
67,Pd,2.899,0.048
68,Ag,3.148,0.036
69,Cd,2.848,0.228
70,In,4.463,0.599
71,Sn,4.392,0.567
72,Sb,4.42,0.449
73,Te,4.47,0.398
74,I,4.5,0.339
75,Xe,4.404,0.332
76,Cs,4.517,0.045
77,Ba,3.703,0.364
78,La,3.522,0.017
79,Ce,3.556,0.013
80,Pr,3.606,0.01
81,Nd,3.575,0.01
82,Pm,3.547,0.009
83,Sm,3.52,0.008
84,Eu,3.493,0.008
85,Gd,3.368,0.009
86,Tb,3.451,0.007
87,Dy,3.428,0.007
88,Ho,3.409,0.007
89,Er,3.391,0.007
90,Tm,3.374,0.006
91,Yb,3.355,0.228
92,Lu,3.64,0.041
93,Hf,3.141,0.072
94,Ta,3.17,0.081
95,W,3.069,0.067
96,W,3.069,0.067
97,W,3.069,0.067
98,Re,2.954,0.066
99,Re,2.954,0.066
100,Os,3.12,0.037
101,Ir,2.84,0.073
102,Pt,2.754,0.08
103,Au,3.293,0.039
104,Hg,2.705,0.385
105,T,4.347,0.68
106,Pb,4.297,0.663
107,Bi,4.37,0.518
108,Po,4.709,0.325
109,At,4.75,0.284
110,Rn,4.765,0.248
111,Fr,4.9,0.05
112,Ra,3.677,0.404
113,Ac,3.478,0.033
114,Th,3.396,0.026
115,Pa,3.424,0.022
116,U,3.395,0.022
117,Np,3.424,0.019
118,Pu,3.424,0.016
119,Am,3.381,0.014
120,Cm,3.326,0.013
121,Bk,3.339,0.013
122,Cf,3.313,0.013
123,Es,3.299,0.012
124,Fm,3.286,0.012
125,Md,3.274,0.011
126,No,3.248,0.011
127,Lw,3.236,0.011
